,Given Stock,Symbol,ISIN,Status,Date of Listing,Basic Industry,Sectoral Index,Macro-Economic Sector,Sector,Industry
0,AARON,AARON,INE721Z01010,Listed,06-Nov-2020,Elevators,NA,Industrials,Capital Goods,Industrial Manufacturing
1,AARTIDRUGS,AARTIDRUGS,INE767A01016,Listed,19-Sep-2003,Pharmaceuticals,NIFTY PHARMA                                      ,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
2,AARTIIND,AARTIIND,INE769A01020,Listed,08-Feb-1995,Specialty Chemicals,NIFTY 500                                         ,Commodities,Chemicals,Chemicals & Petrochemicals
3,AARTISURF,AARTISURF,INE09EO01013,Listed,14-Jul-2020,Specialty Chemicals,NA,Commodities,Chemicals,Chemicals & Petrochemicals
4,AARVEEDEN,AARVEEDEN,INE273D01019,Listed,21-Nov-2006,Other Textile Products,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
5,AARVI,AARVI,INE754X01016,Listed,24-Jun-2020,Diversified Commercial Services,NA,Services,Services,Commercial Services & Supplies
6,AAVAS,AAVAS,INE216P01012,Listed,08-Oct-2018,Housing Finance Company,NIFTY FINANCIAL SERVICES,Financial Services,Financial Services,Finance
7,ABAN,ABAN,INE421A01028,Listed,29-Mar-1995,Offshore Support Solution Drilling,NIFTY 500                                         ,Energy,Oil Gas & Consumable Fuels,Oil
8,ABB,ABB,INE117A01022,Listed,08-Feb-1995,Heavy Electrical Equipment,NIFTY INFRASTRUCTURE                              ,Industrials,Capital Goods,Electrical Equipment
9,ABBOTINDIA,ABBOTINDIA,INE358A01014,Permitted to trade,08-Jan-2010,Pharmaceuticals,NIFTY PHARMA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
10,ABCAPITAL,ABCAPITAL,INE674K01013,Listed,01-Sep-2017,Life Insurance,NIFTY FINANCIAL SERVICES                          ,Financial Services,Financial Services,Insurance
11,ABCOTS,ABCOTS,INE08PH01015,Listed,11-Jan-2022,Other Textile Products,NA,Consumer Discretionary,Textiles,Textiles & Apparels
12,ABFRL,ABFRL,INE647O01011,Listed,17-Jul-2013,Speciality Retail,NIFTY 500                                         ,Consumer Discretionary,Consumer Services,Retailing
13,ABINFRA,ABINFRA,INE00YB01017,Listed,12-Jul-2019,Civil Construction,NA,Industrials,Construction,Construction
14,ABMINTLLTD,ABMINTLLTD,INE251C01025,Listed,09-Sep-2021,Trading & Distributors,NA,Services,Services,Commercial Services & Supplies
15,ABSLAMC,ABSLAMC,INE404A01024,Listed,11-Oct-2021,Asset Management Company,NA,Financial Services,Financial Services,Capital Markets
16,ABSLBANETF,ABSLBANETF,INF209KB17D5,Listed,30-Oct-2019,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
17,ABSLNN50ET,ABSLNN50ET,INF209KB16D7,Listed,21-Dec-2018,NA,NA,,,
18,ACC,ACC,INE012A01025,Listed,20-Nov-1996,Cement & Cement Products,NIFTY COMMODITIES                                 ,Commodities,Construction Materials,Cement & Cement Products
19,ACCELYA,ACCELYA,INE793A01012,Listed,01-Dec-1999,Computers - Software & Consulting,NIFTY IT                                          ,Information Technology,Information Technology,IT - Software
20,ACCURACY,ACCURACY,INE648Z01015,Listed,11-Dec-2020,Logistics Solution Provider,NA,Services,Services,Transport Services
21,ACE,ACE,INE731H01025,Listed,26-Sep-2006,Construction Vehicles,NIFTY 500                                         ,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles
22,ACEINTEG,ACEINTEG,INE543V01017,Listed,04-Nov-2022,Diversified Commercial Services,NA,Services,Services,Commercial Services & Supplies
23,ACRYSIL,ACRYSIL,INE482D01024,Listed,14-Jan-2021,Household Appliances,NA,Consumer Discretionary,Consumer Durables,Consumer Durables
24,ADANIENT,ADANIENT,INE423A01024,Listed,04-Jun-1997,Trading - Minerals,NIFTY 500                                         ,Commodities,Metals & Mining,Metals & Minerals Trading
25,ADANIGREEN,ADANIGREEN,INE364U01010,Listed,18-Jun-2018,Electric Utilities,NIFTY 500                                         ,Utilities,Power,Power
26,ADANIPORTS,ADANIPORTS,INE742F01042,Listed,27-Nov-2007,Port & Port services,NIFTY 500                                         ,Services,Services,Transport Infrastructure
27,ADANIPOWER,ADANIPOWER,INE814H01011,Listed,20-Aug-2009,Electric Utilities,NIFTY INFRASTRUCTURE                              ,Utilities,Power,Power
28,ADANITRANS,ADANITRANS,INE931S01010,Listed,31-Jul-2015,Power - Transmission,NIFTY 500                                         ,Utilities,Power,Power
29,ADFFOODS,ADFFOODS,INE982B01019,Listed,15-Sep-2010,Packaged Foods,NIFTY FMCG                                        ,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products
30,ADL,ADL,INE0CHO01012,Listed,01-Oct-2020,Plywood Boards/ Laminates,NA,Consumer Discretionary,Consumer Durables,Consumer Durables
31,ADORWELD,ADORWELD,INE045A01017,Listed,10-May-1995,Electrodes,NIFTY 500                                         ,Industrials,Capital Goods,Industrial Products
32,ADROITINFO,ADROITINFO,INE737B01033,Listed,13-Aug-1997,IT Enabled Services,NIFTY MEDIA                                       ,Information Technology,Information Technology,IT - Services
33,ADSL,ADSL,INE102I01027,Listed,25-Jul-2007,IT Enabled Services,NIFTY IT                                          ,Information Technology,Information Technology,IT - Services
34,ADVANIHOTR,ADVANIHOTR,INE199C01026,Listed,25-Jun-2007,Hotels & Resorts,NIFTY SERVICES SECTOR                             ,Consumer Discretionary,Consumer Services,Leisure Services
35,ADVENZYMES,ADVENZYMES,INE837H01020,Listed,01-Aug-2016,Other Agricultural Products,NIFTY 500                                         ,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
36,AEGISCHEM,AEGISCHEM,INE208C01025,Listed,03-Apr-1996,Trading - Gas,NIFTY 500                                         ,Energy,Oil Gas & Consumable Fuels,Gas
37,AETHER,AETHER,INE0BWX01014,Listed,03-Jun-2022,Specialty Chemicals,NA,Commodities,Chemicals,Chemicals & Petrochemicals
38,AFFLE,AFFLE,INE00WC01027,Listed,08-Aug-2019,IT Enabled Services,NA,Information Technology,Information Technology,IT - Services
39,AGARIND,AGARIND,INE204E01012,Listed,26-May-2014,Petrochemicals,NIFTY INFRASTRUCTURE                              ,Commodities,Chemicals,Chemicals & Petrochemicals
40,AGI,AGI,INE415A01038,Listed,31-May-2000,Packaging,NA,Industrials,Capital Goods,Industrial Products
41,AGNI,AGNI,INE0LF301013,Listed,01-Aug-2022,Engineering Designing & Construction,NA,Industrials,Construction,Construction
42,AGRITECH,AGRITECH,INE449G01018,Listed,28-Jan-2014,Other Agricultural Products,NIFTY 500                                         ,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
43,AGROPHOS,AGROPHOS,INE740V01019,Listed,08-Mar-2019,Fertilizers,NIFTY 500,Commodities,Chemicals,Fertilizers & Agrochemicals
44,AGSTRA,AGSTRA,INE583L01014,Listed,31-Jan-2022,Diversified Commercial Services,NA,Services,Services,Commercial Services & Supplies
45,AHLADA,AHLADA,INE00PV01013,Listed,28-Jan-2021,Furniture Home Furnishing Flooring,NA,Consumer Discretionary,Consumer Durables,Consumer Durables
46,AHLEAST,AHLEAST,INE926K01017,Listed,11-Aug-2010,Hotels & Resorts,NIFTY SERVICES SECTOR                             ,Consumer Discretionary,Consumer Services,Leisure Services
47,AHLUCONT,AHLUCONT,INE758C01029,Listed,14-Dec-2009,Civil Construction,NIFTY REALTY                                      ,Industrials,Construction,Construction
48,AIAENG,AIAENG,INE212H01026,Listed,14-Dec-2005,Castings & Forgings,NIFTY INFRASTRUCTURE                              ,Industrials,Capital Goods,Industrial Products
49,AILIMITED,AILIMITED,INE0CAJ01017,Listed,21-Jun-2021,Engineering Designing & Construction,NA,Industrials,Construction,Construction
50,AIRAN,AIRAN,INE645W01026,Listed,03-May-2019,IT Enabled Services,NA,Information Technology,Information Technology,IT - Services
51,AIROLAM,AIROLAM,INE801L01010,Listed,13-Oct-2021,Plywood Boards/ Laminates,NA,Consumer Discretionary,Consumer Durables,Consumer Durables
52,AIRTELPP,AIRTELPP,IN9397D01014,Listed,02-Nov-2021,Telecom - Cellular & Fixed line services,NA,Telecommunication,Telecommunication,Telecom - Services
53,AJANTPHARM,AJANTPHARM,INE031B01049,Listed,29-May-2000,Pharmaceuticals,NIFTY PHARMA                                      ,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
54,AJMERA,AJMERA,INE298G01027,Listed,16-Jun-2009,Residential Commercial Projects,NIFTY REALTY                                      ,Consumer Discretionary,Realty,Realty
55,AJOONI,AJOONI,INE820Y01021,Listed,07-May-2021,Animal Feed,NA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products
56,AJRINFRA,AJRINFRA,INE181G01025,Listed,03-Apr-2008,Engineering Designing & Construction,NA,Industrials,Construction,Construction
57,AKASH,AKASH,INE737W01013,Listed,11-Oct-2019,Civil Construction,NA,Industrials,Construction,Construction
58,AKG,AKG,INE00Y801016,Listed,16-Feb-2021,Trading & Distributors,NA,Services,Services,Commercial Services & Supplies
59,AKSHAR,AKSHAR,INE256Z01017,Listed,23-May-2022,Other Textile Products,NA,Consumer Discretionary,Textiles,Textiles & Apparels
60,AKSHARCHEM,AKSHARCHEM,INE542B01011,Listed,28-Mar-2017,Dyes And Pigments,NIFTY 500                                         ,Commodities,Chemicals,Chemicals & Petrochemicals
61,AKSHOPTFBR,AKSHOPTFBR,INE523B01011,Listed,18-Aug-2000,Telecom - Equipment & Accessories,NIFTY 500                                         ,Telecommunication,Telecommunication,Telecom - Equipment & Accessories
62,AKZOINDIA,AKZOINDIA,INE133A01011,Listed,28-Jun-2001,Paints,NIFTY 500                                         ,Consumer Discretionary,Consumer Durables,Consumer Durables
63,ALANKIT,ALANKIT,INE914E01040,Listed,30-Jun-2015,Diversified Commercial Services,NIFTY 500                                         ,Services,Services,Commercial Services & Supplies
64,ALBERTDAVD,ALBERTDAVD,INE155C01010,Listed,14-Jun-2016,Pharmaceuticals,NIFTY PHARMA                                      ,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
65,ALEMBICLTD,ALEMBICLTD,INE426A01027,Listed,22-Sep-1999,Residential Commercial Projects,NIFTY PHARMA                                      ,Consumer Discretionary,Realty,Realty
66,ALICON,ALICON,INE062D01024,Listed,29-Sep-2006,Auto Components & Equipments,NIFTY METAL                                       ,Consumer Discretionary,Automobile and Auto Components,Auto Components
67,ALKALI,ALKALI,INE773I01017,Listed,06-Nov-2008,Specialty Chemicals,NIFTY 500                                         ,Commodities,Chemicals,Chemicals & Petrochemicals
68,ALKEM,ALKEM,INE540L01014,Listed,23-Dec-2015,Pharmaceuticals,NIFTY PHARMA                                      ,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
69,ALKYLAMINE,ALKYLAMINE,INE150B01039,Listed,26-Nov-2007,Specialty Chemicals,NIFTY 500                                         ,Commodities,Chemicals,Chemicals & Petrochemicals
70,ALLCARGO,ALLCARGO,INE418H01029,Listed,23-Jun-2006,Logistics Solution Provider,NIFTY INFRASTRUCTURE                              ,Services,Services,Transport Services
71,ALLSEC,ALLSEC,INE835G01018,Listed,09-May-2005,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),NIFTY IT                                          ,Services,Services,Commercial Services & Supplies
72,ALMONDZ,ALMONDZ,INE326B01027,Listed,16-Jun-2008,Stockbroking & Allied,NIFTY FINANCIAL SERVICES                          ,Financial Services,Financial Services,Capital Markets
73,ALOKINDS,ALOKINDS,INE270A01029,Listed,19-Feb-2020,Other Textile Products,NA,Consumer Discretionary,Textiles,Textiles & Apparels
74,ALPA,ALPA,INE385I01010,Listed,06-Aug-2007,Pharmaceuticals,NIFTY PHARMA                                      ,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
75,ALPHAGEO,ALPHAGEO,INE137C01018,Listed,11-May-2007,Offshore Support Solution Drilling,NIFTY 500                                         ,Energy,Oil Gas & Consumable Fuels,Oil
76,ALPSINDUS,ALPSINDUS,INE093B01015,Listed,24-Apr-1996,Other Textile Products,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
77,AMARAJABAT,AMARAJABAT,INE885A01032,Listed,05-Sep-2003,Batteries - Automobile,NIFTY 500                                         ,Consumer Discretionary,Automobile and Auto Components,Auto Components
78,AMBER,AMBER,INE371P01015,Listed,30-Jan-2018,Air Conditioner,NIFTY 500                                         ,Consumer Discretionary,Consumer Durables,Consumer Durables
79,AMBICAAGAR,AMBICAAGAR,INE792B01012,Listed,29-Jun-2004,Household Products,NA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products
80,AMBIKCO,AMBIKCO,INE540G01014,Listed,29-Jan-2008,Other Textile Products,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
81,AMBUJACEM,AMBUJACEM,INE079A01024,Listed,18-Feb-1998,Cement & Cement Products,NIFTY COMMODITIES                                 ,Commodities,Construction Materials,Cement & Cement Products
82,AMDIND,AMDIND,INE005I01014,Listed,19-Mar-2007,Packaging,NIFTY 500                                         ,Industrials,Capital Goods,Industrial Products
83,AMEYA,AMEYA,INE0KT901015,Listed,08-Sep-2022,Other Industrial Products,NA,Industrials,Capital Goods,Industrial Products
84,AMIORG,AMIORG,INE00FF01017,Listed,14-Sep-2021,Pharmaceuticals,NA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
85,AMJLAND,AMJLAND,INE606A01024,Listed,08-Feb-1995,Residential Commercial Projects,NIFTY 500                                         ,Consumer Discretionary,Realty,Realty
86,AMJUMBO,AMJUMBO,INE749Y01014,Listed,12-Feb-2018,NA,NA,,,
87,AMRUTANJAN,AMRUTANJAN,INE098F01031,Listed,02-Jan-2015,Pharmaceuticals,NIFTY PHARMA                                      ,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
88,ANANDRATHI,ANANDRATHI,INE463V01026,Listed,14-Dec-2021,Financial Products Distributor,NA,Financial Services,Financial Services,Capital Markets
89,ANANTRAJ,ANANTRAJ,INE242C01024,Listed,27-Sep-2006,Residential Commercial Projects,NIFTY REALTY                                      ,Consumer Discretionary,Realty,Realty
90,ANDHRAPAP,ANDHRAPAP,INE435A01028,Listed,13-May-2004,Paper & Paper Products,NA,Commodities,Forest Materials,Paper Forest & Jute Products
91,ANDHRSUGAR,ANDHRSUGAR,INE715B01021,Listed,01-Nov-1995,Commodity Chemicals,NIFTY 500                                         ,Commodities,Chemicals,Chemicals & Petrochemicals
92,ANDREWYU,ANDREWYU,INE449C01025,Permitted to trade,05-Aug-2021,Tea & Coffee,NA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
93,ANGELONE,ANGELONE,INE732I01013,Listed,05-Oct-2020,Stockbroking & Allied,NA,Financial Services,Financial Services,Capital Markets
94,ANIKINDS,ANIKINDS,INE087B01017,Listed,21-May-2008,Trading & Distributors,NIFTY 500                                         ,Services,Services,Commercial Services & Supplies
95,ANKITMETAL,ANKITMETAL,INE106I01010,Listed,14-Mar-2013,Iron & Steel,NIFTY METAL                                       ,Commodities,Metals & Mining,Ferrous Metals
96,ANMOL,ANMOL,INE02AR01019,Listed,04-Jun-2021,Coal,NA,Energy,Oil Gas & Consumable Fuels,Consumable Fuels
97,ANNAPURNA,ANNAPURNA,INE0MGM01017,Listed,27-Sep-2022,Packaged Foods,NA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products
98,ANSALAPI,ANSALAPI,INE436A01026,Listed,27-Jan-2006,Residential Commercial Projects,NIFTY REALTY                                      ,Consumer Discretionary,Realty,Realty
99,ANTGRAPHIC,ANTGRAPHIC,INE414B01021,Listed,31-Dec-1997,Packaging,NIFTY 500                                         ,Industrials,Capital Goods,Industrial Products
100,ANUP,ANUP,INE294Z01018,Listed,01-Mar-2019,Industrial Equipments,NIFTY INFRASTRUCTURE,Industrials,Capital Goods,Industrial Manufacturing
101,ANURAS,ANURAS,INE930P01018,Listed,24-Mar-2021,Specialty Chemicals,NA,Commodities,Chemicals,Chemicals & Petrochemicals
102,APARINDS,APARINDS,INE372A01015,Listed,12-Jul-2004,Other Electrical Equipment,NIFTY 500                                         ,Industrials,Capital Goods,Electrical Equipment
103,APCL,APCL,INE071F01012,Listed,10-Apr-2017,Cement & Cement Products,NIFTY COMMODITIES                                 ,Commodities,Construction Materials,Cement & Cement Products
104,APCOTEXIND,APCOTEXIND,INE116A01032,Listed,06-Sep-1995,Rubber,NIFTY 500                                         ,Industrials,Capital Goods,Industrial Products
105,APEX,APEX,INE346W01013,Listed,04-Sep-2017,Packaged Foods,NIFTY FMCG                                        ,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products
106,APLAPOLLO,APLAPOLLO,INE702C01027,Listed,14-Dec-2011,Iron & Steel Products,NIFTY METAL                                       ,Industrials,Capital Goods,Industrial Products
107,APLLTD,APLLTD,INE901L01018,Listed,20-Sep-2011,Pharmaceuticals,NIFTY PHARMA                                      ,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
108,APOLLO,APOLLO,INE713T01010,Listed,22-Jan-2018,Aerospace & Defense,NIFTY 500                                         ,Industrials,Capital Goods,Aerospace & Defense
109,APOLLOHOSP,APOLLOHOSP,INE437A01024,Listed,10-Jan-1996,Hospital,NIFTY PHARMA                                      ,Healthcare,Healthcare,Healthcare Services
110,APOLLOPIPE,APOLLOPIPE,INE126J01016,Listed,11-Nov-2019,Plastic Products - Industrial,NA,Industrials,Capital Goods,Industrial Products
111,APOLLOTYRE,APOLLOTYRE,INE438A01022,Listed,31-May-1995,Tyres & Rubber Products,NIFTY AUTO                                        ,Consumer Discretionary,Automobile and Auto Components,Auto Components
112,APOLSINHOT,APOLSINHOT,INE451F01024,Listed,28-Jan-2015,Hotels & Resorts,NIFTY SERVICES SECTOR                             ,Consumer Discretionary,Consumer Services,Leisure Services
113,APTECHT,APTECHT,INE266F01018,Listed,27-Sep-2002,Education,NIFTY IT                                          ,Consumer Discretionary,Consumer Services,Other Consumer Services
114,APTUS,APTUS,INE852O01025,Listed,24-Aug-2021,Housing Finance Company,NA,Financial Services,Financial Services,Finance
115,ARCHIDPLY,ARCHIDPLY,INE877I01016,Listed,04-Jul-2008,Plywood Boards/ Laminates,NIFTY 500                                         ,Consumer Discretionary,Consumer Durables,Consumer Durables
116,ARCHIES,ARCHIES,INE731A01020,Listed,02-Sep-1998,Leisure Products,NIFTY MEDIA                                       ,Consumer Discretionary,Consumer Durables,Consumer Durables
117,ARENTERP,ARENTERP,INE610C01014,Listed,18-Oct-1995,Trading & Distributors,NIFTY METAL                                       ,Services,Services,Commercial Services & Supplies
118,ARIES,ARIES,INE298I01015,Listed,11-Jan-2008,Fertilizers,NIFTY 500                                         ,Commodities,Chemicals,Fertilizers & Agrochemicals
119,ARIHANTCAP,ARIHANTCAP,INE420B01036,Listed,15-Jun-2021,Stockbroking & Allied,NA,Financial Services,Financial Services,Capital Markets
120,ARIHANTSUP,ARIHANTSUP,INE643K01018,Listed,28-Mar-2017,Residential Commercial Projects,NIFTY REALTY                                      ,Consumer Discretionary,Realty,Realty
121,ARMANFIN,ARMANFIN,INE109C01017,Listed,14-Jun-2016,Non Banking Financial Company (NBFC),NIFTY FINANCIAL SERVICES                          ,Financial Services,Financial Services,Finance
122,AROGRANITE,AROGRANITE,INE210C01013,Listed,24-Apr-2007,Furniture Home Furnishing Flooring,NIFTY 500                                         ,Consumer Discretionary,Consumer Durables,Consumer Durables
123,ARROWGREEN,ARROWGREEN,INE570D01018,Listed,21-May-2015,Packaging,NIFTY 500                                         ,Industrials,Capital Goods,Industrial Products
124,ARSHIYA,ARSHIYA,INE968D01022,Listed,14-Dec-2009,Logistics Solution Provider,NIFTY INFRASTRUCTURE                              ,Services,Services,Transport Services
125,ARSSINFRA,ARSSINFRA,INE267I01010,Listed,03-Mar-2010,Civil Construction,NIFTY INFRASTRUCTURE                              ,Industrials,Construction,Construction
126,ARTEMISMED,ARTEMISMED,INE025R01021,Listed,23-Jan-2020,Hospital,NA,Healthcare,Healthcare,Healthcare Services
127,ARTNIRMAN,ARTNIRMAN,INE738V01013,Listed,18-Oct-2021,Residential Commercial Projects,NA,Consumer Discretionary,Realty,Realty
128,ARVEE,ARVEE,INE006Z01016,Listed,22-Mar-2021,Specialty Chemicals,NA,Commodities,Chemicals,Chemicals & Petrochemicals
129,ARVIND,ARVIND,INE034A01011,Listed,08-Feb-1995,Garments & Apparels,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
130,ARVINDFASN,ARVINDFASN,INE955V01021,Listed,08-Mar-2019,Speciality Retail,NIFTY 500,Consumer Discretionary,Consumer Services,Retailing
131,ARVSMART,ARVSMART,INE034S01021,Listed,26-Aug-2015,Residential Commercial Projects,NIFTY INFRASTRUCTURE                              ,Consumer Discretionary,Realty,Realty
132,ASAHIINDIA,ASAHIINDIA,INE439A01020,Listed,18-Mar-1998,Auto Components & Equipments,NIFTY AUTO                                        ,Consumer Discretionary,Automobile and Auto Components,Auto Components
133,ASAHISONG,ASAHISONG,INE228I01012,Listed,29-Aug-2011,Dyes And Pigments,NIFTY 500                                         ,Commodities,Chemicals,Chemicals & Petrochemicals
134,ASAL,ASAL,INE900C01027,Listed,12-Mar-2002,Auto Components & Equipments,NIFTY 500                                         ,Consumer Discretionary,Automobile and Auto Components,Auto Components
135,ASALCBR,ASALCBR,INE073G01016,Listed,12-Feb-2020,Breweries & Distilleries,NA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages
136,ASHAPURMIN,ASHAPURMIN,INE348A01023,Listed,20-Sep-1995,Industrial Minerals,NIFTY METAL                                       ,Commodities,Metals & Mining,Minerals & Mining
137,ASHIANA,ASHIANA,INE365D01021,Listed,29-Jun-2011,Residential Commercial Projects,NIFTY REALTY                                      ,Consumer Discretionary,Realty,Realty
138,ASHIMASYN,ASHIMASYN,INE440A01010,Listed,27-Jul-1995,Other Textile Products,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
139,ASHOKA,ASHOKA,INE442H01029,Listed,14-Oct-2010,Civil Construction,NIFTY INFRASTRUCTURE                              ,Industrials,Construction,Construction
140,ASHOKLEY,ASHOKLEY,INE208A01029,Listed,25-May-1995,Commercial Vehicles,NIFTY 500                                         ,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles
141,ASIANENE,ASIANENE,INE276G01015,Listed,09-Dec-2021,Oil Equipment & Services,NA,Energy,Oil Gas & Consumable Fuels,Oil
142,ASIANHOTNR,ASIANHOTNR,INE363A01022,Listed,07-Apr-2010,Hotels & Resorts,NIFTY SERVICES SECTOR                             ,Consumer Discretionary,Consumer Services,Leisure Services
143,ASIANPAINT,ASIANPAINT,INE021A01026,Listed,31-May-1995,Paints,NIFTY 500                                         ,Consumer Discretionary,Consumer Durables,Consumer Durables
144,ASIANTILES,ASIANTILES,INE022I01019,Listed,23-Aug-2007,Furniture Home Furnishing Flooring,NIFTY 500                                         ,Consumer Discretionary,Consumer Durables,Consumer Durables
145,ASPINWALL,ASPINWALL,INE991I01015,Listed,14-Jun-2016,Logistics Solution Provider,NIFTY 500                                         ,Services,Services,Transport Services
146,ASTEC,ASTEC,INE563J01010,Listed,25-Nov-2009,Pesticides & Agrochemicals,NIFTY 500                                         ,Commodities,Chemicals,Fertilizers & Agrochemicals
147,ASTERDM,ASTERDM,INE914M01019,Listed,26-Feb-2018,Hospital,NIFTY PHARMA                                      ,Healthcare,Healthcare,Healthcare Services
148,ASTRAL,ASTRAL,INE006I01046,Listed,20-Mar-2007,Plastic Products - Industrial,NIFTY 500                                         ,Industrials,Capital Goods,Industrial Products
149,ASTRAMICRO,ASTRAMICRO,INE386C01029,Listed,01-Nov-2004,Aerospace & Defense,NIFTY INFRASTRUCTURE                              ,Industrials,Capital Goods,Aerospace & Defense
150,ASTRAZEN,ASTRAZEN,INE203A01020,Listed,04-May-2001,Pharmaceuticals,NIFTY PHARMA                                      ,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
151,ASTRON,ASTRON,INE646X01014,Listed,29-Dec-2017,Paper & Paper Products,NIFTY 500                                         ,Commodities,Forest Materials,Paper Forest & Jute Products
152,ATALREAL,ATALREAL,INE0ALR01011,Listed,15-Oct-2020,Residential Commercial Projects,NA,Consumer Discretionary,Realty,Realty
153,ATFL,ATFL,INE209A01019,Listed,06-Dec-2002,Edible Oil,NIFTY FMCG                                        ,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
154,ATGL,ATGL,INE399L01023,Listed,05-Nov-2018,LPG/CNG/PNG/LNG Supplier,NA,Energy,Oil Gas & Consumable Fuels,Gas
155,ATLANTA,ATLANTA,INE285H01022,Listed,25-Sep-2006,Civil Construction,NIFTY INFRASTRUCTURE                              ,Industrials,Construction,Construction
156,ATUL,ATUL,INE100A01010,Listed,06-May-1998,Specialty Chemicals,NIFTY 500                                         ,Commodities,Chemicals,Chemicals & Petrochemicals
157,ATULAUTO,ATULAUTO,INE951D01028,Listed,26-Jun-2013,Commercial Vehicles,NIFTY AUTO                                        ,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles
158,AUBANK,AUBANK,INE949L01017,Listed,10-Jul-2017,Other Bank,NIFTY BANK                                        ,Financial Services,Financial Services,Banks
159,AURIONPRO,AURIONPRO,INE132H01018,Listed,25-Oct-2005,Computers - Software & Consulting,NIFTY IT                                          ,Information Technology,Information Technology,IT - Software
160,AUROPHARMA,AUROPHARMA,INE406A01037,Listed,19-Jul-2000,Pharmaceuticals,NIFTY PHARMA                                      ,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
161,AURUM,AURUM,INE898S01029,Listed,19-Aug-2015,IT Enabled Services,NA,Information Technology,Information Technology,IT - Services
162,AURUMPP,AURUMPP,IN9898S01019,Listed,25-May-2022,IT Enabled Services,NA,Information Technology,Information Technology,IT - Services
163,AUSOMENT,AUSOMENT,INE218C01016,Listed,17-Apr-1996,Trading & Distributors,NIFTY 500                                         ,Services,Services,Commercial Services & Supplies
164,AUTOAXLES,AUTOAXLES,INE449A01011,Listed,29-May-2003,Auto Components & Equipments,NIFTY AUTO                                        ,Consumer Discretionary,Automobile and Auto Components,Auto Components
165,AUTOBEES,AUTOBEES,INF204KC1337,Listed,25-Jan-2022,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
166,AUTOIND,AUTOIND,INE718H01014,Listed,31-Jan-2007,Auto Components & Equipments,NIFTY AUTO                                        ,Consumer Discretionary,Automobile and Auto Components,Auto Components
167,AVADHSUGAR,AVADHSUGAR,INE349W01017,Listed,28-Jul-2017,Sugar,NIFTY FMCG                                        ,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
168,AVANTIFEED,AVANTIFEED,INE871C01038,Listed,15-Apr-2015,Animal Feed,NIFTY 500                                         ,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products
169,AVG,AVG,INE680Z01018,Listed,11-Apr-2018,Logistics Solution Provider,NA,Services,Services,Transport Services
170,AVROIND,AVROIND,INE652Z01017,Listed,07-Apr-2022,Plastic Products - Consumer,NA,Consumer Discretionary,Consumer Durables,Consumer Durables
171,AVTNPL,AVTNPL,INE488D01021,Listed,10-Jan-2007,Other Agricultural Products,NIFTY FMCG                                        ,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
172,AWHCL,AWHCL,INE01BK01022,Listed,01-Jan-2021,Waste Management,NA,Utilities,Utilities,Other Utilities
173,AWL,AWL,INE699H01024,Listed,08-Feb-2022,Edible Oil,NA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
174,AXISBANK,AXISBANK,INE238A01034,Listed,16-Nov-1998,Private Sector Bank,NIFTY BANK                                        ,Financial Services,Financial Services,Banks
