,Given Stock,Symbol,ISIN,Status,Date of Listing,Basic Industry,Sectoral Index,Macro-Economic Sector,Sector,Industry
481,EBBETF0430,EBBETF0430,INF754K01KO2,Listed,02-Jan-2020,NA,NA,,,
482,EBBETF0431,EBBETF0431,INF754K01LE1,Listed,29-Jul-2020,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
483,ECLERX,ECLERX,INE738I01010,Listed,31-Dec-2007,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),NIFTY IT                                          ,Services,Services,Commercial Services & Supplies
484,ECLFINANCE,ECLFINANCE,INE804I075Y4,Listed,09-Aug-2018,NA,NA,,,
485,EDELWEISS,EDELWEISS,INE532F01054,Listed,12-Dec-2007,Holding Company,NIFTY FINANCIAL SERVICES                          ,Financial Services,Financial Services,Finance
486,EHFLNCD,EHFLNCD,INE530L07210,Listed,22-Jul-2016,NA,NA,,,
487,EICHERMOT,EICHERMOT,INE066A01021,Listed,07-Sep-2004,2/3 Wheelers,NIFTY AUTO                                        ,Consumer Discretionary,Automobile and Auto Components,Automobiles
488,EIDPARRY,EIDPARRY,INE126A01031,Listed,10-May-1995,Other Agricultural Products,NIFTY FMCG                                        ,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
489,EIFFL,EIFFL,INE546V01010,Listed,12-Oct-2021,Packaged Foods,NA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products
490,EIHAHOTELS,EIHAHOTELS,INE276C01014,Listed,08-Apr-2008,Hotels & Resorts,NIFTY SERVICES SECTOR                             ,Consumer Discretionary,Consumer Services,Leisure Services
491,EIHOTEL,EIHOTEL,INE230A01023,Listed,08-Feb-1995,Hotels & Resorts,NIFTY SERVICES SECTOR                             ,Consumer Discretionary,Consumer Services,Leisure Services
492,EIMCOELECO,EIMCOELECO,INE158B01016,Listed,17-Apr-1996,Industrial Equipments,NIFTY 500                                         ,Industrials,Capital Goods,Industrial Manufacturing
